,Title,Published_date,Views,Likes,Comments,Month
624,BMW M5 800hp v Ferrari 488 Pista - DRAG RACE,2020-10-10,3714398,123196,6427,Oct
1369,Volkswagen Polo 2018 review - do you really need a Golf? | carwow Reviews,2017-08-31,3674670,31752,1990,Aug
1514,"BMW M3 v Mercedes-AMG C63 S v Alfa Romeo Giulia QV - DRAG RACE, BRAKE & DRIFT OFF  | Head2Head",2017-04-01,3665627,33110,3672,Apr
802,BMW 3 Series: ultimate in-depth review | carwow Reviews,2019-12-27,3663321,42653,2705,Dec
424,Lamborghini Aventador SV vs £1M Rallycross Racers: DRAG RACE,2021-06-12,3653681,130737,3352,Jun
348,Ford Mustang King Cobra v Chevy Camaro v Dodge Challenger SRT: DRAG RACE,2021-09-04,3626664,127334,7887,Sep
902,"BMW M850i 6 month review - the good, the bad and the pointless!",2019-08-02,3521361,57743,2322,Aug
956,New Porsche 911 2020 in-depth review | carwow Reviews,2019-05-11,3520733,44144,3177,May
981,Toyota RAV4 SUV 2020 in-depth review | carwow Reviews,2019-04-04,3494439,28764,2697,Apr
689,Polestar 2 EV review - see where it beats the Tesla Model 3,2020-07-17,3481001,47624,5881,Jul
792,Tesla Model 3 P v Porsche 911 - DRAG RACE *shock result*,2020-01-18,3472339,64634,8043,Jan
638,BMW M8 GC v Audi RS6 v AMG E63 S v Porsche Panamera - DRAG RACE,2020-09-19,3451923,100254,8047,Sep
999,Toyota Corolla 2020 in-depth review | carwow Reviews,2019-03-14,3443587,37842,2959,Mar
901,"Bentayga Speed v AMG G63 v Cayenne Turbo v …Jimny?! - SUV DRAG RACE, ROLLING RACE & BRAKE TEST",2019-08-03,3430358,64413,4286,Aug
685,Audi R8 vs TT RS-R: Drag Race *V10 vs ABT-tuned 5cyl*,2020-07-22,3418198,105721,4931,Jul
376,"BMW M5 CS v AMG GT v Audi RS6 v Porsche Panamera: REVIEW & 0-60mph, 1/4 mile, brake & drift test!",2021-08-05,3396653,70441,5994,Aug
516,BMW M5 v Audi RS6 v AMG E63 S - DRAG RACE,2021-02-20,3391160,92960,7875,Feb
545,Audi RS6 v Lamborghini Urus - DRAG RACE *Mat vs Yianni*,2021-01-16,3379968,107681,6279,Jan
480,BMW M4 v AMG C63 v Audi RS5 - DRAG RACE,2021-04-03,3373557,107543,10122,Apr
804,Audi RS3 2020 vs 2017: DRAG RACE & DYNO TEST... have the new emissions regs ruined performance cars?,2019-12-21,3365074,61323,2590,Dec
268,BMW M5 CS v AMG E63 v Audi RS6 v Porsche Panamera Turbo: DRAG RACE,2021-12-11,3345253,94092,5690,Dec
614,Mercedes-Maybach GLS 600 - see why it's the German Rolls-Royce Cullinan!,2020-10-22,3328141,73341,5283,Oct
935,BMW 7 Series 2020 in-depth review | carwow Reviews,2019-06-14,3325905,47348,2837,Jun
